window_id,variant,from,to,expected_component,noise_hint
W01,1,2026-02-12T09:07:00,2026-02-12T09:12:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W02,2,2026-02-12T10:14:00,2026-02-12T10:19:00,Server,Отделите первичную запись от фоновых предупреждений
W03,3,2026-02-12T11:21:00,2026-02-12T11:26:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W04,4,2026-02-12T12:28:00,2026-02-12T12:33:00,Server,Отделите первичную запись от фоновых предупреждений
W05,5,2026-02-12T13:35:00,2026-02-12T13:40:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W06,6,2026-02-12T14:42:00,2026-02-12T14:47:00,Server,Отделите первичную запись от фоновых предупреждений
W07,7,2026-02-13T09:49:00,2026-02-13T09:54:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W08,8,2026-02-13T10:06:00,2026-02-13T10:11:00,Server,Отделите первичную запись от фоновых предупреждений
W09,9,2026-02-13T11:13:00,2026-02-13T11:18:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W10,10,2026-02-13T12:20:00,2026-02-13T12:25:00,Server,Отделите первичную запись от фоновых предупреждений
W11,11,2026-02-13T13:27:00,2026-02-13T13:32:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W12,12,2026-02-13T14:34:00,2026-02-13T14:39:00,Server,Отделите первичную запись от фоновых предупреждений
W13,13,2026-02-14T09:41:00,2026-02-14T09:46:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W14,14,2026-02-14T10:48:00,2026-02-14T10:53:00,Server,Отделите первичную запись от фоновых предупреждений
W15,15,2026-02-14T11:05:00,2026-02-14T11:10:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W16,16,2026-02-14T12:12:00,2026-02-14T12:17:00,Server,Отделите первичную запись от фоновых предупреждений
W17,17,2026-02-14T13:19:00,2026-02-14T13:24:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W18,18,2026-02-14T14:26:00,2026-02-14T14:31:00,Server,Отделите первичную запись от фоновых предупреждений
W19,19,2026-02-15T09:33:00,2026-02-15T09:38:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W20,20,2026-02-15T10:40:00,2026-02-15T10:45:00,Server,Отделите первичную запись от фоновых предупреждений
W21,21,2026-02-15T11:47:00,2026-02-15T11:52:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W22,22,2026-02-15T12:04:00,2026-02-15T12:09:00,Server,Отделите первичную запись от фоновых предупреждений
W23,23,2026-02-15T13:11:00,2026-02-15T13:16:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W24,24,2026-02-15T14:18:00,2026-02-15T14:23:00,Server,Отделите первичную запись от фоновых предупреждений
W25,25,2026-02-16T09:25:00,2026-02-16T09:30:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W26,26,2026-02-16T10:32:00,2026-02-16T10:37:00,Server,Отделите первичную запись от фоновых предупреждений
W27,27,2026-02-16T11:39:00,2026-02-16T11:44:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W28,28,2026-02-16T12:46:00,2026-02-16T12:51:00,Server,Отделите первичную запись от фоновых предупреждений
W29,29,2026-02-16T13:03:00,2026-02-16T13:08:00,InnoDB,Отделите первичную запись от фоновых предупреждений
W30,30,2026-02-16T14:10:00,2026-02-16T14:15:00,Server,Отделите первичную запись от фоновых предупреждений
