variant,branch_id,date_from,date_to,statuses,minimum_total,order_id,material_id,slow_branch,volume_rows
1,1,2026-02-01,2026-03-28,NEW|IN_PROGRESS,9750,1001,1,3,21000
2,2,2026-03-01,2026-04-28,DONE|CANCELLED,10500,1002,2,2,22000
3,3,2026-04-01,2026-05-28,NEW|DONE,11250,1003,3,1,23000
4,1,2026-05-01,2026-06-28,IN_PROGRESS|DONE,12000,1004,4,3,24000
5,2,2026-06-01,2026-07-28,NEW|IN_PROGRESS|DONE,12750,1005,1,2,25000
6,3,2026-02-01,2026-03-28,NEW|IN_PROGRESS,13500,1006,2,1,26000
7,1,2026-03-01,2026-04-28,DONE|CANCELLED,14250,1007,3,3,27000
8,2,2026-04-01,2026-05-28,NEW|DONE,15000,1008,4,2,28000
9,3,2026-05-01,2026-06-28,IN_PROGRESS|DONE,15750,1009,1,1,29000
10,1,2026-06-01,2026-07-28,NEW|IN_PROGRESS|DONE,16500,1010,2,3,30000
11,2,2026-02-01,2026-03-28,NEW|IN_PROGRESS,17250,1011,3,2,31000
12,3,2026-03-01,2026-04-28,DONE|CANCELLED,18000,1012,4,1,32000
13,1,2026-04-01,2026-05-28,NEW|DONE,18750,1001,1,3,33000
14,2,2026-05-01,2026-06-28,IN_PROGRESS|DONE,19500,1002,2,2,34000
15,3,2026-06-01,2026-07-28,NEW|IN_PROGRESS|DONE,20250,1003,3,1,35000
16,1,2026-02-01,2026-03-28,NEW|IN_PROGRESS,21000,1004,4,3,36000
17,2,2026-03-01,2026-04-28,DONE|CANCELLED,21750,1005,1,2,37000
18,3,2026-04-01,2026-05-28,NEW|DONE,22500,1006,2,1,38000
19,1,2026-05-01,2026-06-28,IN_PROGRESS|DONE,23250,1007,3,3,39000
20,2,2026-06-01,2026-07-28,NEW|IN_PROGRESS|DONE,24000,1008,4,2,40000
21,3,2026-02-01,2026-03-28,NEW|IN_PROGRESS,24750,1009,1,1,41000
22,1,2026-03-01,2026-04-28,DONE|CANCELLED,25500,1010,2,3,42000
23,2,2026-04-01,2026-05-28,NEW|DONE,26250,1011,3,2,43000
24,3,2026-05-01,2026-06-28,IN_PROGRESS|DONE,27000,1012,4,1,44000
25,1,2026-06-01,2026-07-28,NEW|IN_PROGRESS|DONE,27750,1001,1,3,45000
26,2,2026-02-01,2026-03-28,NEW|IN_PROGRESS,28500,1002,2,2,46000
27,3,2026-03-01,2026-04-28,DONE|CANCELLED,29250,1003,3,1,47000
28,1,2026-04-01,2026-05-28,NEW|DONE,30000,1004,4,3,48000
29,2,2026-05-01,2026-06-28,IN_PROGRESS|DONE,30750,1005,1,2,49000
30,3,2026-06-01,2026-07-28,NEW|IN_PROGRESS|DONE,31500,1006,2,1,50000
