variant;metric;warning_threshold;critical_threshold;evaluation_window;platform_priority;incident_id;direction;unit
1;connections_used_pct;60;80;10m;reliability;I01;above;%
2;p95_query_seconds;0.8;1.5;15m;compatibility;I02;above;s
3;disk_free_pct;25;15;5m;observability;I03;below;%
4;error_rate_per_min;3;8;10m;cost;I04;above;1/min
5;connections_used_pct;60;80;15m;portability;I05;above;%
6;p95_query_seconds;0.8;1.5;5m;skills_available;I06;above;s
7;disk_free_pct;25;15;10m;reliability;I07;below;%
8;error_rate_per_min;3;8;15m;compatibility;I08;above;1/min
9;connections_used_pct;60;80;5m;observability;I09;above;%
10;p95_query_seconds;0.8;1.5;10m;cost;I10;above;s
11;disk_free_pct;25;15;15m;portability;I11;below;%
12;error_rate_per_min;3;8;5m;skills_available;I12;above;1/min
13;connections_used_pct;60;80;10m;reliability;I13;above;%
14;p95_query_seconds;0.8;1.5;15m;compatibility;I14;above;s
15;disk_free_pct;25;15;5m;observability;I15;below;%
16;error_rate_per_min;3;8;10m;cost;I16;above;1/min
17;connections_used_pct;60;80;15m;portability;I17;above;%
18;p95_query_seconds;0.8;1.5;5m;skills_available;I18;above;s
19;disk_free_pct;25;15;10m;reliability;I19;below;%
20;error_rate_per_min;3;8;15m;compatibility;I20;above;1/min
21;connections_used_pct;60;80;5m;observability;I21;above;%
22;p95_query_seconds;0.8;1.5;10m;cost;I22;above;s
23;disk_free_pct;25;15;15m;portability;I23;below;%
24;error_rate_per_min;3;8;5m;skills_available;I24;above;1/min
25;connections_used_pct;60;80;10m;reliability;I25;above;%
26;p95_query_seconds;0.8;1.5;15m;compatibility;I26;above;s
27;disk_free_pct;25;15;5m;observability;I27;below;%
28;error_rate_per_min;3;8;10m;cost;I28;above;1/min
29;connections_used_pct;60;80;15m;portability;I29;above;%
30;p95_query_seconds;0.8;1.5;5m;skills_available;I30;above;s
