variant,current_data_gib,monthly_growth_gib,planning_months,active_share_pct,max_connections,per_connection_mib,daily_transfer_gib,peak_window_hours,retention_copies
1,83,8,24,25,128,5,31,6,3
2,96,9,30,30,136,6,34,7,2
3,109,10,36,35,144,4,37,8,3
4,122,11,18,40,152,5,40,5,2
5,135,12,24,20,160,6,43,6,3
6,148,13,30,25,168,4,46,7,2
7,161,14,36,30,176,5,49,8,3
8,174,15,18,35,184,6,52,5,2
9,187,16,24,40,192,4,55,6,3
10,200,17,30,20,200,5,58,7,2
11,213,7,36,25,208,6,61,8,3
12,226,8,18,30,216,4,64,5,2
13,239,9,24,35,224,5,67,6,3
14,252,10,30,40,232,6,70,7,2
15,265,11,36,20,240,4,73,8,3
16,278,12,18,25,248,5,76,5,2
17,291,13,24,30,256,6,79,6,3
18,304,14,30,35,264,4,82,7,2
19,317,15,36,40,272,5,85,8,3
20,330,16,18,20,280,6,88,5,2
21,343,17,24,25,288,4,91,6,3
22,356,7,30,30,296,5,94,7,2
23,369,8,36,35,304,6,97,8,3
24,382,9,18,40,312,4,100,5,2
25,395,10,24,20,320,5,103,6,3
26,408,11,30,25,328,6,106,7,2
27,421,12,36,30,336,4,109,8,3
28,434,13,18,35,344,5,112,5,2
29,447,14,24,40,352,6,115,6,3
30,460,15,30,20,360,4,118,7,2
