variant,enterprise_profile,product_term,material_term,specification_term,customer_term,order_term,database_name,minimum_order_total
1,мебельное производство,изделие,материал,спецификация_01,заказчик,заказ,production_case_01,12900
2,производство светильников,модель,компонент,спецификация_02,заказчик,заказ,production_case_02,13800
3,спортивное оборудование,комплект,сырьё,спецификация_03,заказчик,заказ,production_case_03,14700
4,полиграфическая продукция,позиция,заготовка,спецификация_04,заказчик,заказ,production_case_04,15600
5,учебные наборы,продукт,деталь,спецификация_05,заказчик,заказ,production_case_05,16500
6,сувенирная продукция,изделие,материал,спецификация_06,заказчик,заказ,production_case_06,17400
7,садовая мебель,модель,компонент,спецификация_07,заказчик,заказ,production_case_07,18300
8,текстильные изделия,комплект,сырьё,спецификация_08,заказчик,заказ,production_case_08,19200
9,корпусная электроника,позиция,заготовка,спецификация_09,заказчик,заказ,production_case_09,20100
10,велосипедные аксессуары,продукт,деталь,спецификация_10,заказчик,заказ,production_case_10,21000
11,детские конструкторы,изделие,материал,спецификация_11,заказчик,заказ,production_case_11,21900
12,упаковочные материалы,модель,компонент,спецификация_12,заказчик,заказ,production_case_12,22800
13,офисные перегородки,комплект,сырьё,спецификация_13,заказчик,заказ,production_case_13,23700
14,кухонная посуда,позиция,заготовка,спецификация_14,заказчик,заказ,production_case_14,24600
15,туристическое снаряжение,продукт,деталь,спецификация_15,заказчик,заказ,production_case_15,25500
16,лабораторная мебель,изделие,материал,спецификация_16,заказчик,заказ,production_case_16,26400
17,рекламные конструкции,модель,компонент,спецификация_17,заказчик,заказ,production_case_17,27300
18,системы хранения,комплект,сырьё,спецификация_18,заказчик,заказ,production_case_18,28200
19,медицинские укладки,позиция,заготовка,спецификация_19,заказчик,заказ,production_case_19,29100
20,театральные декорации,продукт,деталь,спецификация_20,заказчик,заказ,production_case_20,30000
21,торговое оборудование,изделие,материал,спецификация_21,заказчик,заказ,production_case_21,30900
22,деревянные игрушки,модель,компонент,спецификация_22,заказчик,заказ,production_case_22,31800
23,акустические панели,комплект,сырьё,спецификация_23,заказчик,заказ,production_case_23,32700
24,защитные чехлы,позиция,заготовка,спецификация_24,заказчик,заказ,production_case_24,33600
25,модульные стеллажи,продукт,деталь,спецификация_25,заказчик,заказ,production_case_25,34500
26,кабельные сборки,изделие,материал,спецификация_26,заказчик,заказ,production_case_26,35400
27,настольные органайзеры,модель,компонент,спецификация_27,заказчик,заказ,production_case_27,36300
28,выставочные стенды,комплект,сырьё,спецификация_28,заказчик,заказ,production_case_28,37200
29,инструментальные тележки,позиция,заготовка,спецификация_29,заказчик,заказ,production_case_29,38100
30,уличные навесы,продукт,деталь,спецификация_30,заказчик,заказ,production_case_30,39000
