variant,student_suffix,service_name,port,datadir,database_name,collation,reader_user,operator_user,allowed_host,incident_case,log_window
1,01,MySQL84_UIABD01,3311,C:/mysql-data/uiabd01,service_ops_01,utf8mb4_0900_ai_ci,reader01,operator01,localhost,C01,W01
2,02,MySQL84_UIABD02,3312,C:/mysql-data/uiabd02,service_ops_02,utf8mb4_0900_as_ci,reader02,operator02,localhost,C02,W02
3,03,MySQL84_UIABD03,3313,C:/mysql-data/uiabd03,service_ops_03,utf8mb4_unicode_ci,reader03,operator03,127.0.0.1,C03,W03
4,04,MySQL84_UIABD04,3314,C:/mysql-data/uiabd04,service_ops_04,utf8mb4_0900_ai_ci,reader04,operator04,localhost,C04,W04
5,05,MySQL84_UIABD05,3315,C:/mysql-data/uiabd05,service_ops_05,utf8mb4_0900_as_ci,reader05,operator05,localhost,C05,W05
6,06,MySQL84_UIABD06,3316,C:/mysql-data/uiabd06,service_ops_06,utf8mb4_unicode_ci,reader06,operator06,127.0.0.1,C06,W06
7,07,MySQL84_UIABD07,3317,C:/mysql-data/uiabd07,service_ops_07,utf8mb4_0900_ai_ci,reader07,operator07,localhost,C07,W07
8,08,MySQL84_UIABD08,3318,C:/mysql-data/uiabd08,service_ops_08,utf8mb4_0900_as_ci,reader08,operator08,localhost,C08,W08
9,09,MySQL84_UIABD09,3319,C:/mysql-data/uiabd09,service_ops_09,utf8mb4_unicode_ci,reader09,operator09,127.0.0.1,C09,W09
10,10,MySQL84_UIABD10,3320,C:/mysql-data/uiabd10,service_ops_10,utf8mb4_0900_ai_ci,reader10,operator10,localhost,C10,W10
11,11,MySQL84_UIABD11,3321,C:/mysql-data/uiabd11,service_ops_11,utf8mb4_0900_as_ci,reader11,operator11,localhost,C11,W11
12,12,MySQL84_UIABD12,3322,C:/mysql-data/uiabd12,service_ops_12,utf8mb4_unicode_ci,reader12,operator12,127.0.0.1,C12,W12
13,13,MySQL84_UIABD13,3323,C:/mysql-data/uiabd13,service_ops_13,utf8mb4_0900_ai_ci,reader13,operator13,localhost,C13,W13
14,14,MySQL84_UIABD14,3324,C:/mysql-data/uiabd14,service_ops_14,utf8mb4_0900_as_ci,reader14,operator14,localhost,C14,W14
15,15,MySQL84_UIABD15,3325,C:/mysql-data/uiabd15,service_ops_15,utf8mb4_unicode_ci,reader15,operator15,127.0.0.1,C15,W15
16,16,MySQL84_UIABD16,3326,C:/mysql-data/uiabd16,service_ops_16,utf8mb4_0900_ai_ci,reader16,operator16,localhost,C16,W16
17,17,MySQL84_UIABD17,3327,C:/mysql-data/uiabd17,service_ops_17,utf8mb4_0900_as_ci,reader17,operator17,localhost,C17,W17
18,18,MySQL84_UIABD18,3328,C:/mysql-data/uiabd18,service_ops_18,utf8mb4_unicode_ci,reader18,operator18,127.0.0.1,C18,W18
19,19,MySQL84_UIABD19,3329,C:/mysql-data/uiabd19,service_ops_19,utf8mb4_0900_ai_ci,reader19,operator19,localhost,C19,W19
20,20,MySQL84_UIABD20,3330,C:/mysql-data/uiabd20,service_ops_20,utf8mb4_0900_as_ci,reader20,operator20,localhost,C20,W20
21,21,MySQL84_UIABD21,3331,C:/mysql-data/uiabd21,service_ops_21,utf8mb4_unicode_ci,reader21,operator21,127.0.0.1,C21,W21
22,22,MySQL84_UIABD22,3332,C:/mysql-data/uiabd22,service_ops_22,utf8mb4_0900_ai_ci,reader22,operator22,localhost,C22,W22
23,23,MySQL84_UIABD23,3333,C:/mysql-data/uiabd23,service_ops_23,utf8mb4_0900_as_ci,reader23,operator23,localhost,C23,W23
24,24,MySQL84_UIABD24,3334,C:/mysql-data/uiabd24,service_ops_24,utf8mb4_unicode_ci,reader24,operator24,127.0.0.1,C24,W24
25,25,MySQL84_UIABD25,3335,C:/mysql-data/uiabd25,service_ops_25,utf8mb4_0900_ai_ci,reader25,operator25,localhost,C25,W25
26,26,MySQL84_UIABD26,3336,C:/mysql-data/uiabd26,service_ops_26,utf8mb4_0900_as_ci,reader26,operator26,localhost,C26,W26
27,27,MySQL84_UIABD27,3337,C:/mysql-data/uiabd27,service_ops_27,utf8mb4_unicode_ci,reader27,operator27,127.0.0.1,C27,W27
28,28,MySQL84_UIABD28,3338,C:/mysql-data/uiabd28,service_ops_28,utf8mb4_0900_ai_ci,reader28,operator28,localhost,C28,W28
29,29,MySQL84_UIABD29,3339,C:/mysql-data/uiabd29,service_ops_29,utf8mb4_0900_as_ci,reader29,operator29,localhost,C29,W29
30,30,MySQL84_UIABD30,3340,C:/mysql-data/uiabd30,service_ops_30,utf8mb4_unicode_ci,reader30,operator30,127.0.0.1,C30,W30
